1.162, 7.451, -1.822
-3.812, 2.214, -1.585
5.246, 3.372, -2.562

-3.812, 2.214, -1.585
0.026, -1.928, -2.280
5.246, 3.372, -2.562

1.162, 7.451, -1.822
1.157, 7.482, -0.891
-3.829, 2.169, -0.175

1.162, 7.451, -1.822
-3.829, 2.169, -0.175
-3.812, 2.214, -1.585

-3.812, 2.214, -1.585
-3.829, 2.169, -0.175
0.022, -1.971, -1.835

-3.812, 2.214, -1.585
0.022, -1.971, -1.835
0.026, -1.928, -2.280

0.026, -1.928, -2.280
0.022, -1.971, -1.835
5.262, 3.369, -2.016

0.026, -1.928, -2.280
5.262, 3.369, -2.016
5.246, 3.372, -2.562

5.246, 3.372, -2.562
5.262, 3.369, -2.016
1.157, 7.482, -0.891

5.246, 3.372, -2.562
1.157, 7.482, -0.891
1.162, 7.451, -1.822

1.157, 7.482, -0.891
0.662, 9.375, -0.438
-3.829, 2.169, -0.175

0.662, 9.375, -0.438
-5.825, 1.884, 0.152
-3.829, 2.169, -0.175

-3.829, 2.169, -0.175
-5.825, 1.884, 0.152
0.022, -1.971, -1.835

-5.825, 1.884, 0.152
-0.203, -4.469, -2.015
0.022, -1.971, -1.835

0.022, -1.971, -1.835
-0.203, -4.469, -2.015
5.262, 3.369, -2.016

-0.203, -4.469, -2.015
7.115, 3.527, -2.810
5.262, 3.369, -2.016

5.262, 3.369, -2.016
7.115, 3.527, -2.810
1.157, 7.482, -0.891

7.115, 3.527, -2.810
0.662, 9.375, -0.438
1.157, 7.482, -0.891
